Trade.Agreement,HBTypeCode,Language,NorthSouth,Number,NumberMS,Sectoral,TypeDepth,TypeMemb,US_Partners,WTOListed,WTOTypeCode,Year,reg_africa,reg_americas,reg_asia,reg_europe,reg_intercontinental,reg_oceania,Nombre de normes,IAE,regioncon
566_Latvia Slovakia_1996,2.0,1.0,3,566,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,0.0,1.0,0.0,0.0,5,1,Europe
567_Latvia Slovenia_1996,2.0,1.0,3,567,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
568_Latvia Sweden_1992,2.0,1.0,2,568,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
569_Latvia Switzerland_1992,2.0,1.0,2,569,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
57_Armenia Russia_1992,2.0,1.0,3,57,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,1.0,1.0,1.0,0.0,3,1,Intercontinental
570_Latvia Turkey_1998,2.0,1.0,3,570,2.0,0.0,2.0,1.0,0,1.0,2,1998,0.0,0.0,1.0,1.0,1.0,0.0,3,1,Intercontinental
574_Libya Morocco_1990,,4.0,3,574,2.0,0.0,3.0,1.0,0,0.0,,1990,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
576_Lithuania Norway_1992,2.0,1.0,2,576,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,6,1,Europe
577_Lithuania Poland_1996,2.0,1.0,3,577,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,0.0,1.0,0.0,0.0,5,1,Europe
578_Lithuania Slovakia_1996,2.0,1.0,3,578,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
579_Lithuania Slovenia_1996,2.0,1.0,3,579,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,0.0,1.0,0.0,0.0,6,1,Europe
580_Lithuania Sweden_1991,2.0,1.0,2,580,2.0,0.0,2.0,1.0,0,1.0,2,1991,0.0,0.0,0.0,1.0,0.0,0.0,1,1,Europe
581_Lithuania Switzerland_1992,2.0,6.0,2,581,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
582_Lithuania Turkey_1997,2.0,1.0,3,582,2.0,0.0,2.0,1.0,0,1.0,2,1997,0.0,0.0,1.0,1.0,1.0,0.0,2,1,Intercontinental
584_Lomé I_1975,1.0,1.0,2,584,55.0,0.0,1.0,4.0,0,1.0,2,1975,1.0,1.0,0.0,1.0,1.0,1.0,3,1,Intercontinental
585_Lomé II_1979,1.0,1.0,2,585,67.0,0.0,1.0,4.0,0,1.0,2,1979,1.0,1.0,0.0,1.0,1.0,1.0,22,2,Intercontinental
586_Lomé III_1984,1.0,1.0,2,586,75.0,0.0,1.0,4.0,0,1.0,2,1984,1.0,1.0,0.0,1.0,1.0,1.0,36,3,Intercontinental
587_Lomé IV_1989,1.0,1.0,2,587,80.0,0.0,1.0,4.0,0,0.0,,1989,1.0,1.0,0.0,1.0,1.0,1.0,67,5,Intercontinental
589_Macedonia Moldova_2004,2.0,1.0,3,589,2.0,0.0,2.0,1.0,0,1.0,2,2004,0.0,0.0,0.0,1.0,0.0,0.0,6,1,Europe
59_Armenia Turkmenistan_1995,2.0,1.0,3,59,2.0,0.0,2.0,1.0,0,1.0,2,1995,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
590_Macedonia Romania_2003,2.0,1.0,3,590,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,10,1,Europe
592_Macedonia Slovenia_1996,2.0,1.0,3,592,2.0,0.0,2.0,1.0,0,1.0,2,1996,0.0,0.0,0.0,1.0,0.0,0.0,6,1,Europe
593_Macedonia Turkey_1999,2.0,1.0,3,593,2.0,0.0,2.0,1.0,0,1.0,2,1999,0.0,0.0,1.0,1.0,1.0,0.0,3,1,Intercontinental
594_Macedonia Ukraine_2001,2.0,1.0,3,594,2.0,0.0,2.0,1.0,0,1.0,2,2001,0.0,0.0,0.0,1.0,0.0,0.0,6,1,Europe
595_Malawi Mozambique_2005,1.0,1.0,3,595,2.0,0.0,1.0,1.0,0,0.0,,2005,1.0,0.0,0.0,0.0,0.0,0.0,7,1,Africa
598_Malaysia New Zealand_2009,,1.0,2,598,2.0,0.0,2.0,1.0,0,1.0,,2009,0.0,0.0,1.0,0.0,0.0,0.0,62,4,Asia
599_Malaysia Pakistan_2007,,1.0,3,599,2.0,0.0,2.0,1.0,0,1.0,2,2007,0.0,0.0,1.0,0.0,0.0,0.0,19,3,Asia
6_Albania Bulgaria_2003,2.0,1.0,3,6,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
60_Armenia Ukraine_1994,2.0,1.0,3,60,2.0,0.0,2.0,1.0,0,1.0,2,1994,0.0,0.0,1.0,1.0,1.0,0.0,4,1,Intercontinental
600_Mano River Union_1973,3.0,1.0,3,600,2.0,0.0,3.0,1.0,0,0.0,,1973,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
601_Mauritania Morocco_1986,,4.0,3,601,2.0,0.0,1.0,1.0,0,0.0,,1986,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
602_Mauritius Pakistan_2007,,1.0,3,602,2.0,0.0,1.0,1.0,0,0.0,,2007,1.0,0.0,1.0,0.0,1.0,0.0,5,1,Intercontinental
603_Melanesian Spearhead Group (MSG )_1993,1.0,1.0,3,603,3.0,0.0,1.0,2.0,0,1.0,1,1993,0.0,0.0,0.0,0.0,0.0,1.0,2,1,Oceania
604_MERCOSUR_1991,3.0,2.0,3,604,4.0,0.0,3.0,2.0,0,1.0,3,1991,0.0,1.0,0.0,0.0,0.0,0.0,3,1,Americas
605_MERCOSUR Mexico Auto Agreement_2002,5.0,2.0,3,605,5.0,1.0,1.0,3.0,1,0.0,,2002,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
606_MERCOSUR Peru_2005,1.0,2.0,3,606,5.0,0.0,1.0,3.0,0,0.0,,2005,0.0,1.0,0.0,0.0,0.0,0.0,10,1,Americas
607_MERCOSUR services_1997,,2.0,3,607,4.0,0.0,4.0,2.0,0,1.0,,1997,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
608_MERCOSUR Southern African Customs Union (SACU)_2004,,1.0,3,608,9.0,0.0,2.0,4.0,0,0.0,,2004,1.0,1.0,0.0,0.0,1.0,0.0,5,1,Intercontinental
61_Arusha Agreement II_1969,1.0,1.0,3,61,9.0,0.0,1.0,4.0,0,1.0,2,1969,1.0,0.0,0.0,1.0,1.0,0.0,2,1,Intercontinental
610_Mexico Nicaragua_1985,1.0,2.0,3,610,2.0,0.0,1.0,1.0,0,0.0,,1985,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
611_Mexico Nicaragua_1997,2.0,2.0,3,611,2.0,0.0,2.0,1.0,1,1.0,2,1997,0.0,1.0,0.0,0.0,0.0,0.0,37,2,Americas
612_Mexico_Northern_Triangle_2000,2.0,2.0,3,612,4.0,0.0,2.0,3.0,1,1.0,2,2000,0.0,1.0,0.0,0.0,0.0,0.0,46,4,Americas
613_Mexico Panama_1985,1.0,2.0,3,613,2.0,0.0,1.0,1.0,0,0.0,,1985,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
615_Mexico Uruguay_1986,1.0,1.0,3,615,2.0,0.0,1.0,1.0,0,0.0,,1986,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
616_Mexico Uruguay_2003,2.0,1.0,3,616,2.0,0.0,2.0,1.0,1,0.0,,2003,0.0,1.0,0.0,0.0,0.0,0.0,22,2,Americas
617_Moldova Romania_1994,2.0,1.0,3,617,2.0,0.0,2.0,1.0,0,1.0,2,1994,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
619_Moldova Serbia_2003,2.0,1.0,3,619,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,6,1,Europe
62_Asia Pacific Trade Agreement (Bangkok Agreement amended)_2005,,1.0,3,62,6.0,0.0,1.0,2.0,0,0.0,,2005,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
621_Moldova Ukraine_2003,,1.0,3,621,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,6,1,Europe
624_Montenegro Turkey_2008,,1.0,3,624,2.0,0.0,2.0,1.0,0,1.0,2,2008,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
625_Morocco Tunisia_1999,2.0,3.0,3,625,2.0,0.0,2.0,1.0,0,0.0,,1999,1.0,0.0,0.0,0.0,0.0,0.0,1,1,Africa
626_Morocco Turkey_2004,2.0,1.0,3,626,2.0,0.0,2.0,1.0,1,1.0,2,2004,1.0,0.0,1.0,0.0,1.0,0.0,5,1,Intercontinental
627_Morocco UAE_2001,2.0,3.0,3,627,2.0,0.0,2.0,1.0,0,0.0,,2001,1.0,0.0,1.0,0.0,1.0,0.0,1,1,Intercontinental
628_Morocco US_2004,2.0,1.0,2,628,2.0,0.0,2.0,1.0,2,1.0,2,2004,1.0,1.0,0.0,0.0,1.0,0.0,66,5,Intercontinental
63_Association of Caribbean States_1994,,1.0,3,63,25.0,0.0,5.0,2.0,0,0.0,,1994,0.0,1.0,0.0,0.0,0.0,0.0,7,2,Americas
630_Namibia Zimbabwe_1992,1.0,1.0,3,630,2.0,0.0,1.0,1.0,0,0.0,,1992,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
631_New Zealand Singapore_2000,2.0,1.0,2,631,2.0,0.0,2.0,1.0,0,1.0,2,2000,0.0,0.0,1.0,0.0,1.0,1.0,19,1,Intercontinental
632_New Zealand Thailand_2005,2.0,1.0,2,632,2.0,0.0,2.0,1.0,0,1.0,2,2005,0.0,0.0,1.0,0.0,1.0,1.0,58,4,Intercontinental
633_Nicaragua Panama_1973,1.0,1.0,3,633,2.0,0.0,1.0,1.0,0,0.0,,1973,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
634_Nicaragua Taiwan_2006,2.0,1.0,3,634,2.0,0.0,2.0,1.0,0,1.0,2,2006,0.0,1.0,0.0,0.0,0.0,0.0,75,5,Intercontinental
635_Nicaragua Venezuela_1986,1.0,1.0,3,635,2.0,0.0,1.0,1.0,0,0.0,,1986,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
636_North American Free Trade Agreement (NAFTA)_1992,2.0,1.0,2,636,3.0,0.0,2.0,2.0,2,1.0,2,1992,0.0,1.0,0.0,0.0,0.0,0.0,100,6,Americas
637_Oman US_2006,2.0,1.0,2,637,2.0,0.0,2.0,1.0,2,1.0,2,2006,0.0,1.0,1.0,0.0,1.0,0.0,75,5,Intercontinental
638_Organisation of Eastern Caribbean States (OECS)_1981,,1.0,3,638,7.0,0.0,3.0,2.0,0,0.0,,1981,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
639_Pacific Island Countries Trade Agreement (PICTA )_2001,2.0,1.0,3,639,9.0,0.0,2.0,2.0,0,1.0,2,2001,0.0,0.0,0.0,0.0,0.0,1.0,4,1,Oceania
64_Association of Southeast Asian Nations (ASEAN) FTA_1992,2.0,1.0,3,64,6.0,0.0,2.0,2.0,0,1.0,2,1992,0.0,0.0,1.0,0.0,0.0,0.0,4,1,Asia
640_Pakistan Sri Lanka_2002,2.0,1.0,3,640,2.0,0.0,2.0,1.0,0,1.0,2,2002,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
641_Panama Singapore_2006,2.0,1.0,3,641,2.0,0.0,2.0,1.0,1,1.0,2,2006,0.0,1.0,1.0,0.0,1.0,0.0,27,2,Intercontinental
642_Panama Taiwan_2003,2.0,1.0,3,642,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,1.0,1.0,0.0,1.0,0.0,38,3,Intercontinental
643_Panama US_2007,,1.0,2,643,2.0,0.0,2.0,1.0,2,1.0,,2007,0.0,1.0,0.0,0.0,0.0,0.0,83,5,Americas
644_Peru Singapore_2008,,1.0,3,644,2.0,0.0,2.0,1.0,1,1.0,2,2008,0.0,1.0,1.0,0.0,1.0,0.0,27,2,Intercontinental
645_Peru US_2006,,1.0,2,645,2.0,0.0,2.0,1.0,2,1.0,2,2006,0.0,1.0,0.0,0.0,0.0,0.0,105,6,Americas
646_Poland Turkey_1999,2.0,1.0,3,646,2.0,0.0,2.0,1.0,0,1.0,2,1999,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
647_Protocol on Trade Negotiations (PTN)_1971,,1.0,3,647,16.0,0.0,1.0,2.0,0,1.0,1,1971,1.0,1.0,1.0,1.0,1.0,0.0,0,1,Intercontinental
648_Romania Serbia_2003,2.0,1.0,3,648,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,11,1,Europe
649_Romania Slovakia_1994,2.0,1.0,3,649,2.0,0.0,2.0,1.0,0,1.0,2,1994,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
65_Association of Southeast Asian Nations (ASEAN) Preferential Trading Arrangements (PTA)_1977,1.0,1.0,3,65,5.0,0.0,1.0,2.0,0,0.0,,1977,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
650_Romania Turkey_1997,2.0,1.0,3,650,2.0,0.0,2.0,1.0,0,1.0,2,1997,0.0,0.0,1.0,1.0,1.0,0.0,4,1,Intercontinental
654_Russia Ukraine_1993,2.0,1.0,3,654,2.0,0.0,2.0,1.0,0,1.0,2,1993,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
656_Saudi Arabia UAE_1978,,1.0,3,656,2.0,0.0,2.0,1.0,0,0.0,,1978,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
657_Serbia Turkey_2009,,1.0,3,657,2.0,0.0,2.0,1.0,0,1.0,2,2009,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
658_Singapore US_2003,2.0,1.0,2,658,2.0,0.0,2.0,1.0,2,1.0,2,2003,0.0,1.0,1.0,0.0,1.0,0.0,55,5,Intercontinental
659_Slovakia Slovenia_1993,2.0,1.0,3,659,2.0,0.0,2.0,1.0,0,1.0,2,1993,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
66_Association of Southeast Asian Nations Australia New Zealand FTA (AANZFTA)_2009,,1.0,2,66,12.0,0.0,2.0,4.0,1,1.0,2,2009,0.0,0.0,1.0,0.0,1.0,1.0,45,4,Intercontinental
660_Slovakia Turkey_1997,2.0,1.0,3,660,2.0,0.0,2.0,1.0,0,1.0,2,1997,0.0,0.0,1.0,1.0,1.0,0.0,5,1,Intercontinental
661_Slovenia Turkey_1998,2.0,1.0,3,661,2.0,0.0,2.0,1.0,0,1.0,2,1998,0.0,0.0,1.0,1.0,1.0,0.0,5,1,Intercontinental
663_South Africa Southern Rhodesia Customs Union_1948,3.0,1.0,3,663,2.0,0.0,3.0,1.0,0,1.0,3,1948,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
664_South Africa Zimbabwe_1964,1.0,1.0,3,664,2.0,0.0,1.0,1.0,0,0.0,,1964,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
"666_South Asian Association for Regional Cooperation, Preferential Trading Arrangement (SAPTA)_1993",1.0,1.0,2,666,7.0,0.0,1.0,2.0,0,1.0,1,1993,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
667_South Asian Free Trade Area (SAFTA)_2004,2.0,1.0,3,667,7.0,0.0,2.0,2.0,0,1.0,2,2004,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
668_South Pacific Trade and Economic Co Operation Agreement (SPARTECA )_1980,1.0,1.0,3,668,11.0,0.0,1.0,2.0,0,1.0,1,1980,0.0,0.0,0.0,0.0,1.0,1.0,1,1,Intercontinental
669_Southern Africa Customs Union (SACU)_1969,3.0,1.0,3,669,4.0,0.0,3.0,2.0,0,0.0,,1969,1.0,0.0,0.0,0.0,0.0,0.0,2,1,Africa
67_Association of Southeast Asian Nations China_2004,2.0,1.0,3,67,11.0,0.0,2.0,3.0,1,1.0,2,2004,0.0,0.0,1.0,0.0,0.0,0.0,4,1,Asia
670_Southern Africa Customs Union (SACU)_2002,,1.0,3,670,5.0,0.0,3.0,2.0,0,1.0,3,2002,1.0,0.0,0.0,0.0,0.0,0.0,7,1,Africa
671_Southern African Development Community (SADC)_1992,,1.0,3,671,10.0,0.0,5.0,2.0,0,0.0,,1992,1.0,0.0,0.0,0.0,0.0,0.0,2,1,Africa
672_Southern African Development Community (SADC)_1996,3.0,1.0,3,672,11.0,0.0,2.0,2.0,0,1.0,2,1996,1.0,0.0,0.0,0.0,0.0,0.0,5,1,Africa
675_Syria Turkey_2004,2.0,1.0,3,675,2.0,0.0,2.0,1.0,0,1.0,2,2004,0.0,0.0,1.0,0.0,0.0,0.0,7,1,Asia
677_Tajikistan Ukraine_2001,,1.0,3,677,2.0,0.0,2.0,1.0,0,1.0,2,2001,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
679_Trans Pacific Strategic EPA_2005,2.0,1.0,2,679,4.0,0.0,2.0,2.0,1,1.0,2,2005,0.0,1.0,1.0,0.0,1.0,0.0,55,4,Intercontinental
68_Association of Southeast Asian Nations China Services_2007,,1.0,3,68,11.0,0.0,4.0,3.0,1,1.0,,2007,0.0,0.0,1.0,0.0,0.0,0.0,2,1,Asia
680_Treaty of Economic Association_1960,3.0,1.0,3,680,3.0,0.0,3.0,2.0,0,0.0,,1960,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
681_Trinidad and Tobago Venezuela_1989,1.0,1.0,3,681,2.0,0.0,1.0,1.0,0,0.0,,1989,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
682_Tripartite Agreement_1967,1.0,1.0,3,682,3.0,0.0,1.0,2.0,0,1.0,1,1967,1.0,0.0,1.0,1.0,1.0,0.0,0,1,Intercontinental
683_Tunisia Turkey_2004,2.0,1.0,3,683,2.0,0.0,2.0,1.0,0,1.0,2,2004,0.0,0.0,1.0,0.0,0.0,0.0,6,1,Asia
684_Turkmenistan Ukraine_1994,2.0,1.0,3,684,2.0,0.0,2.0,1.0,0,1.0,2,1994,0.0,0.0,1.0,1.0,1.0,0.0,4,1,Intercontinental
686_Ukraine Uzbekistan_1994,2.0,1.0,3,686,2.0,0.0,2.0,1.0,0,1.0,2,1994,0.0,0.0,1.0,1.0,1.0,0.0,7,1,Intercontinental
687_United States Vietnam_2000,,1.0,2,687,2.0,0.0,1.0,1.0,2,0.0,,2000,0.0,1.0,1.0,0.0,1.0,0.0,7,1,Intercontinental
688_West African Economic and Monetary Union_1994,3.0,1.0,3,688,7.0,0.0,3.0,2.0,0,1.0,3,1994,1.0,0.0,0.0,0.0,0.0,0.0,3,1,Africa
689_Yaoundé I_1963,1.0,1.0,2,689,24.0,0.0,1.0,4.0,0,1.0,2,1963,1.0,0.0,0.0,1.0,1.0,0.0,4,1,Intercontinental
69_Association of Southeast Asian Nations Goods_2009,,1.0,3,69,10.0,0.0,2.0,2.0,1,0.0,,2009,0.0,0.0,1.0,0.0,0.0,0.0,9,1,Asia
690_Yaoundé II_1969,,1.0,2,690,24.0,0.0,2.0,4.0,0,1.0,2,1969,1.0,0.0,0.0,1.0,1.0,0.0,4,1,Intercontinental
693_Andean Community Auto Agreement_1999,,1.0,3,693,3.0,1.0,1.0,2.0,0,0.0,,1999,0.0,1.0,0.0,0.0,0.0,0.0,4,1,Americas
694_Andean Community Sucre Protocol_1997,,1.0,3,694,5.0,0.0,3.0,2.0,0,0.0,,1997,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
697_Argentina Uruguay_1984,,1.0,3,697,2.0,1.0,1.0,1.0,0,0.0,,1984,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
698_Argentina Uruguay CAUCE_1974,,1.0,3,698,,,,1.0,0,0.0,,1974,,,,,,,4,1,Americas
699_Argentina Uruguay_1982,,1.0,3,699,,,,1.0,0,0.0,,1982,,,,,,,4,1,Americas
7_Albania Croatia_2002,2.0,1.0,3,7,2.0,0.0,2.0,1.0,0,1.0,2,2002,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
70_Association of Southeast Asian Nations India_2009,,1.0,3,70,11.0,0.0,2.0,3.0,1,1.0,2,2009,0.0,0.0,1.0,0.0,0.0,0.0,13,3,Asia
700_Arusha Agreement I_1968,,1.0,3,700,9.0,0.0,2.0,2.0,0,0.0,,1968,1.0,0.0,0.0,1.0,1.0,0.0,1,1,Intercontinental
706_Benelux Economic Union_1958,,4.0,1,706,3.0,0.0,3.0,2.0,0,0.0,,1958,0.0,0.0,0.0,1.0,0.0,0.0,0,1,Europe
71_Association of Southeast Asian Nations Japan_2008,,1.0,2,71,11.0,0.0,2.0,3.0,1,1.0,2,2008,0.0,0.0,1.0,0.0,0.0,0.0,15,3,Asia
714_Central American Common Market (CACM) Protocol of Guatemala_1993,,1.0,3,714,6.0,0.0,3.0,2.0,0,0.0,,1993,0.0,1.0,0.0,0.0,0.0,0.0,9,1,Americas
715_Chile Cuba_1999,,1.0,3,715,2.0,0.0,1.0,1.0,0,0.0,,1999,0.0,1.0,0.0,0.0,0.0,0.0,6,1,Americas
716_Chile Peru_2006,,1.0,3,716,2.0,0.0,2.0,1.0,1,0.0,,2006,0.0,1.0,0.0,0.0,0.0,0.0,19,2,Americas
72_Association of Southeast Asian Nations Korea_2006,,1.0,3,72,10.0,0.0,2.0,3.0,1,1.0,2,2006,0.0,0.0,1.0,0.0,0.0,0.0,13,2,Asia
73_Association of Southeast Asian Nations Korea services_2007,,1.0,3,73,10.0,0.0,4.0,3.0,1,1.0,,2007,0.0,0.0,1.0,0.0,0.0,0.0,4,1,Asia
732_Faroe Islands Finland_1992,,1.0,1,732,2.0,0.0,2.0,1.0,0,0.0,,1992,0.0,0.0,0.0,1.0,0.0,0.0,6,1,Europe
74_Australia Canada_1960,1.0,1.0,1,74,2.0,0.0,1.0,1.0,0,0.0,,1960,0.0,1.0,0.0,0.0,1.0,1.0,0,1,Intercontinental
742_Guinea Morocco_1997,,4.0,3,742,2.0,0.0,1.0,1.0,0,0.0,,1997,1.0,0.0,0.0,0.0,0.0,0.0,1,1,Africa
75_Australia Chile_2008,,1.0,2,75,2.0,0.0,2.0,1.0,1,1.0,2,2008,0.0,1.0,0.0,0.0,1.0,1.0,27,2,Intercontinental
756_Jordan Sudan amended_1989,,1.0,3,756,2.0,0.0,1.0,1.0,0,0.0,,1989,1.0,0.0,1.0,0.0,1.0,0.0,1,1,Intercontinental
76_Association of Southeast Asian Nations Services_1995,,1.0,3,76,6.0,0.0,4.0,2.0,1,,,1995,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
764_Malawi Zimbabwe_2006,,1.0,3,764,2.0,0.0,2.0,1.0,0,0.0,,2006,1.0,0.0,0.0,0.0,0.0,0.0,7,1,Africa
767_Mexico Peru_1987,1.0,1.0,3,767,2.0,0.0,1.0,1.0,0,1.0,,1987,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
768_Morocco Saudi Arabia_1966,,3.0,3,768,2.0,0.0,,1.0,0,0.0,,1966,1.0,0.0,1.0,0.0,1.0,0.0,0,1,Intercontinental
769_Morocco Senegal_1963,,1.0,3,769,2.0,0.0,1.0,1.0,0,0.0,,1963,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
77_Australia New Zealand (ANZCERTA)_1983,2.0,1.0,1,77,2.0,0.0,2.0,1.0,0,1.0,2,1983,0.0,0.0,0.0,0.0,0.0,1.0,2,1,Oceania
771_Peru Thailand_2005,,1.0,3,771,2.0,0.0,1.0,1.0,0,0.0,,2005,0.0,1.0,1.0,0.0,1.0,0.0,3,1,Intercontinental
772_PTA for Eastern and Southern African States_1981,,1.0,3,772,21.0,0.0,1.0,2.0,0,0.0,,1981,1.0,0.0,0.0,0.0,0.0,0.0,3,1,Africa
78_Australia New Zealand ANZCERTA services_1988,,1.0,1,78,2.0,0.0,4.0,1.0,0,1.0,,1988,0.0,0.0,0.0,0.0,0.0,1.0,2,1,Oceania
780_West African Economic Community (CEAO)_1973,,1.0,3,780,6.0,0.0,3.0,2.0,0,0.0,,1973,1.0,0.0,0.0,0.0,0.0,0.0,6,1,Africa
781_Paraguay Venezuela_2008,,1.0,3,781,2.0,0.0,1.0,1.0,0,0.0,,2008,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
782_Uruguay Venezuela_2008,,1.0,3,782,2.0,0.0,1.0,1.0,0,0.0,,2008,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
783_Canada Portugal_1954,,1.0,1,783,2.0,0.0,1.0,1.0,0,0.0,,1954,0.0,1.0,0.0,1.0,1.0,0.0,2,1,Intercontinental
784_Canada Spain_1954,,1.0,1,784,2.0,0.0,1.0,1.0,0,0.0,,1954,0.0,1.0,0.0,1.0,1.0,0.0,0,1,Intercontinental
785_Latvia Ukraine Agriculture_1998,,1.0,3,785,2.0,1.0,1.0,1.0,0,0.0,,1998,0.0,0.0,0.0,1.0,0.0,0.0,0,1,Europe
787_East African Community (EAC)_1999,,1.0,3,787,3.0,0.0,3.0,2.0,1,1.0,,1999,1.0,0.0,0.0,0.0,0.0,0.0,60,3,Africa
787+1_EAC Burundi_2007,4.0,1.0,3,787+1,5.0,0.0,,6.0,1,1.0,3,2007,1.0,0.0,0.0,0.0,0.0,0.0,7,1,
788_East Caribbean Common Market_1968,,1.0,3,788,7.0,0.0,3.0,2.0,0,0.0,,1968,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
789_MERCOSUR Southern African Customs Union (SACU)_2008,,1.0,3,789,9.0,0.0,1.0,4.0,0,0.0,,2008,1.0,1.0,0.0,0.0,1.0,0.0,5,1,Intercontinental
79_Australia New Zealand Free Trade Agreement_1965,1.0,1.0,1,79,2.0,0.0,2.0,1.0,0,1.0,2,1965,0.0,0.0,0.0,0.0,0.0,1.0,2,1,Oceania
790_El Salvador Guatemala_1991,,1.0,3,790,2.0,0.0,3.0,1.0,0,0.0,,1991,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
792_Brazil Uruguay_1982,,1.0,3,792,2.0,0.0,1.0,1.0,0,0.0,,1982,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
793_EC Switzerland Bilaterals I_1999,,1.0,1,793,16.0,0.0,2.0,3.0,0,0.0,,1999,0.0,0.0,0.0,1.0,0.0,0.0,26,2,Europe
795_Australia Malaysia_2012,,1.0,2,795,2.0,0.0,2.0,1.0,1,1.0,2,2012,0.0,0.0,1.0,0.0,1.0,1.0,31,3,Intercontinental
797_Canada Honduras_2013,,1.0,2,797,2.0,0.0,2.0,1.0,1,,,2013,0.0,1.0,0.0,0.0,0.0,0.0,89,5,Americas
798_Canada Panama_2010,,1.0,2,798,2.0,0.0,2.0,1.0,1,1.0,2,2010,0.0,1.0,0.0,0.0,0.0,0.0,93,5,Americas
799_Central America EC_2012,,1.0,2,799,33.0,0.0,2.0,4.0,1,1.0,2,2012,0.0,1.0,0.0,1.0,1.0,0.0,134,6,Intercontinental
8_Albania EC SAA_2006,,1.0,2,8,28.0,0.0,2.0,3.0,0,0.0,,2006,0.0,0.0,0.0,1.0,0.0,0.0,17,2,Europe
